,importance,feature
127,0.03,L3_polar_charged
107,0.029,L2_aromatic_charged
55,0.029,H3_aromatic_polar
136,0.025,L3_charged_aromatic
142,0.021,L3_hydrophobic_charged
2,0.019,H1_polar_charged
71,0.019,H3_special_aromatic
93,0.017,L1_hydrophobic_hydrophobic
58,0.017,H3_aromatic_hydrophobic
35,0.017,H2_charged_polar
66,0.016,H3_hydrophobic_aromatic
125,0.016,L3_polar_polar
81,0.015,L1_aromatic_aromatic
102,0.015,L2_polar_charged
7,0.015,H1_aromatic_charged
83,0.015,L1_aromatic_hydrophobic
30,0.015,H2_aromatic_polar
62,0.015,H3_charged_charged
78,0.014,L1_polar_hydrophobic
72,0.014,H3_special_charged
4,0.013,H1_polar_special
38,0.013,H2_charged_hydrophobic
52,0.012,H3_polar_charged
106,0.012,L2_aromatic_aromatic
10,0.012,H1_charged_polar
82,0.012,L1_aromatic_charged
27,0.011,H2_polar_charged
37,0.011,H2_charged_charged
59,0.011,H3_aromatic_special
56,0.011,H3_aromatic_aromatic
36,0.01,H2_charged_aromatic
97,0.01,L1_special_charged
51,0.01,H3_polar_aromatic
60,0.01,H3_charged_polar
67,0.01,H3_hydrophobic_charged
53,0.01,H3_polar_hydrophobic
5,0.01,H1_aromatic_polar
33,0.01,H2_aromatic_hydrophobic
34,0.01,H2_aromatic_special
122,0.009,L2_special_charged
90,0.009,L1_hydrophobic_polar
57,0.009,H3_aromatic_charged
54,0.009,H3_polar_special
132,0.009,L3_aromatic_charged
98,0.009,L1_special_hydrophobic
105,0.009,L2_aromatic_polar
32,0.009,H2_aromatic_charged
46,0.009,H2_special_aromatic
86,0.008,L1_charged_aromatic
61,0.008,H3_charged_aromatic
68,0.008,H3_hydrophobic_hydrophobic
42,0.008,H2_hydrophobic_charged
41,0.008,H2_hydrophobic_aromatic
31,0.008,H2_aromatic_aromatic
79,0.008,L1_polar_special
77,0.008,L1_polar_charged
26,0.008,H2_polar_aromatic
6,0.007,H1_aromatic_aromatic
92,0.007,L1_hydrophobic_charged
74,0.007,H3_special_special
130,0.007,L3_aromatic_polar
87,0.007,L1_charged_charged
126,0.007,L3_polar_aromatic
70,0.007,H3_special_polar
76,0.007,L1_polar_aromatic
80,0.007,L1_aromatic_polar
63,0.007,H3_charged_hydrophobic
48,0.007,H2_special_hydrophobic
9,0.006,H1_aromatic_special
17,0.006,H1_hydrophobic_charged
3,0.006,H1_polar_hydrophobic
131,0.006,L3_aromatic_aromatic
88,0.006,L1_charged_hydrophobic
25,0.006,H2_polar_polar
101,0.006,L2_polar_aromatic
147,0.006,L3_special_charged
133,0.006,L3_aromatic_hydrophobic
45,0.006,H2_special_polar
47,0.006,H2_special_charged
8,0.005,H1_aromatic_hydrophobic
40,0.005,H2_hydrophobic_polar
138,0.005,L3_charged_hydrophobic
100,0.005,L2_polar_polar
28,0.005,H2_polar_hydrophobic
91,0.005,L1_hydrophobic_aromatic
145,0.004,L3_special_polar
65,0.004,H3_hydrophobic_polar
64,0.004,H3_charged_special
112,0.004,L2_charged_charged
135,0.004,L3_charged_polar
0,0.004,H1_polar_polar
50,0.004,H3_polar_polar
73,0.004,H3_special_hydrophobic
11,0.004,H1_charged_aromatic
13,0.004,H1_charged_hydrophobic
1,0.003,H1_polar_aromatic
110,0.003,L2_charged_polar
137,0.003,L3_charged_charged
84,0.003,L1_aromatic_special
69,0.003,H3_hydrophobic_special
75,0.002,L1_polar_polar
12,0.002,H1_charged_charged
95,0.002,L1_special_polar
29,0.002,H2_polar_special
39,0.002,H2_charged_special
20,0.002,H1_special_polar
108,0.002,L2_aromatic_hydrophobic
22,0.002,H1_special_charged
143,0.002,L3_hydrophobic_hydrophobic
139,0.002,L3_charged_special
134,0.002,L3_aromatic_special
128,0.002,L3_polar_hydrophobic
146,0.001,L3_special_aromatic
49,0.001,H2_special_special
140,0.001,L3_hydrophobic_polar
109,0.001,L2_aromatic_special
21,0.001,H1_special_aromatic
85,0.001,L1_charged_polar
103,0.001,L2_polar_hydrophobic
129,0.001,L3_polar_special
44,0.001,H2_hydrophobic_special
16,0.001,H1_hydrophobic_aromatic
141,0.001,L3_hydrophobic_aromatic
14,0.0,H1_charged_special
89,0.0,L1_charged_special
23,0.0,H1_special_hydrophobic
111,0.0,L2_charged_aromatic
94,0.0,L1_hydrophobic_special
43,0.0,H2_hydrophobic_hydrophobic
104,0.0,L2_polar_special
18,0.0,H1_hydrophobic_hydrophobic
114,0.0,L2_charged_special
96,0.0,L1_special_aromatic
19,0.0,H1_hydrophobic_special
113,0.0,L2_charged_hydrophobic
144,0.0,L3_hydrophobic_special
148,0.0,L3_special_hydrophobic
149,0.0,L3_special_special
117,0.0,L2_hydrophobic_charged
24,0.0,H1_special_special
124,0.0,L2_special_special
123,0.0,L2_special_hydrophobic
121,0.0,L2_special_aromatic
15,0.0,H1_hydrophobic_polar
120,0.0,L2_special_polar
119,0.0,L2_hydrophobic_special
118,0.0,L2_hydrophobic_hydrophobic
116,0.0,L2_hydrophobic_aromatic
115,0.0,L2_hydrophobic_polar
99,0.0,L1_special_special
